URL,SITE,DT_LAST_MODIFIED,CLICKS,ACTIVE_PLANS,INACTIVE_PLANS
https://valenciasecreta.com/que-hacer-valencia-fin-de-semana/,https://valenciasecreta.com/,2023-01-19,193248,118422 || 54872,
https://madridsecreto.co/exposiciones-madrid/,https://madridsecreto.co/,2022-12-29,162871,115916 || 107016 || 104117 || 123618 || 92796,
https://madridsecreto.co/50-cosas-que-hacer-en-madrid/,https://madridsecreto.co/,2022-12-30,110856,109371 || 102589,18689
https://madridsecreto.co/mejores-brunch-madrid/,https://madridsecreto.co/,2023-01-13,89981,96944 || 58132 || 92243 || 103169 || 65308 || 91901,70275
https://madridsecreto.co/planes-fin-de-semana/,https://madridsecreto.co/,2023-01-18,82952,123618 || 118405 || 120675 || 123222 || 121794 || 115916,
https://valenciasecreta.com/restaurantes-bonitos-valencia/,https://valenciasecreta.com/,2022-08-09,76710,,
https://madridsecreto.co/restaurantes-madrid/,https://madridsecreto.co/,2023-01-11,67589,91829 || 66410 || 96944,
https://madridsecreto.co/terrazas-madrid/,https://madridsecreto.co/,2022-09-21,66961,112499 || 69819 || 92243 || 69495 || 58132 || 65308 || 69706 || 116635,11619 || 74759 || 92739 || 74177 || 92310 || 60027 || 69448
https://valenciasecreta.com/restaurantes-valencia/,https://valenciasecreta.com/,2022-11-25,64279,,
https://madridsecreto.co/mejores-cocidos-madrid/,https://madridsecreto.co/,2023-01-16,59076,,
https://madridsecreto.co/teatro-madrid-imprescindibles/,https://madridsecreto.co/,2023-01-03,45542,102589,120619 || 120034
https://sevillasecreta.co/50-restaurantes-y-bares-de-sevilla-que-tienes-que-visitar-al-menos-una-vez-en-la-vida/,https://sevillasecreta.co/,2022-02-08,37009,,
https://barcelonasecreta.com/diccionario-del-insulto-catalan-buen-enfado-conocer/,https://barcelonasecreta.com/,2023-01-09,35429,,
https://sevillasecreta.co/planes-fin-de-semana/,https://sevillasecreta.co/,2023-01-18,31436,,
https://madridsecreto.co/mejores-menu-dia-madrid/,https://madridsecreto.co/,2022-12-07,30227,122337 || 112499 || 80689,
https://madridsecreto.co/mejores-buffets-libres-madrid/,https://madridsecreto.co/,2022-12-07,27809,102492 || 100982,
https://madridsecreto.co/mejores-sitios-desayunar-madrid/,https://madridsecreto.co/,2022-01-31,26350,,
https://madridsecreto.co/sitios-merendar-madrid/,https://madridsecreto.co/,2022-08-24,26110,50214,116186 || 111977
https://madridsecreto.co/getafe-feria-navidad/,https://madridsecreto.co/,2022-12-02,25767,,
https://valenciasecreta.com/restaurantes-paella-valencia/,https://valenciasecreta.com/,2022-11-25,25386,,
