"Dirección","Tipo de contenido","Código de respuesta","Respuesta","Longitud del título 1","Longitud de la meta description 1","Longitud de H1-1","Longitud de H1-2","Longitud de H2-1","Longitud de H2-2","Recuento de palabras","Número de oraciones","Media de palabras por oración","Puntuación de facilidad de lectura de Flesch","Lectura","Nivel de profundidad","Enlaces internos","Coincidencia de similitud más cercana","Tiempo de respuesta"
"https://madridsecreto.co/","text/html; charset=UTF-8","200","OK","45","145","45","0","59","16","627","91","6,890","63,429","Normal","0","17263","","0,096"
"https://madridsecreto.co/¡guau-abre-madrid-la-primera-piscina-perros/","text/html; charset=UTF-8","200","OK","69","153","52","0","0","0","389","51","7,627","61,863","Normal","4","4","","0,431"
"https://madridsecreto.co/¿cuales-los-radares-madrid-mas-multan/","text/html; charset=UTF-8","200","OK","66","149","49","0","0","0","366","108","3,389","97,299","Muy fácil","6","6","","0,623"
"https://madridsecreto.co/¿desaparecen-las-terrazas-las-plazas-la-luna-san-idefonso/","text/html; charset=UTF-8","200","OK","82","156","65","0","0","0","495","56","8,839","57,889","Bastante difícil","6","6","","0,529"
"https://madridsecreto.co/¿vamos-al-teatro-las-mejores-funciones-podras-ver-estos-dias-madrid/","text/html; charset=UTF-8","200","OK","92","153","75","0","0","0","522","66","7,909","64,128","Normal","6","6","","0,591"
"https://madridsecreto.co/1-500-euros-de-multa-por-tirar-cascaras-de-pipa-al-suelo/","text/html; charset=UTF-8","200","OK","73","154","56","0","0","0","376","50","7,520","48,452","Difícil","22","4","","0,398"
"https://madridsecreto.co/1-500-plazas-aparcamiento-seran-gratis-la-universidad-complutense/","text/html; charset=UTF-8","200","OK","88","154","71","0","0","0","316","45","7,022","52,996","Bastante difícil","10","4","","0,392"
"https://madridsecreto.co/1-abril-desapareceran-los-taquilleros-del-metro-madrid/","text/html; charset=UTF-8","200","OK","80","151","63","0","0","0","324","39","8,308","65,758","Normal","14","4","","0,439"
"https://madridsecreto.co/10-conciertazos-no-deberias-perderte-este-finde/","text/html; charset=UTF-8","200","OK","68","152","51","0","0","0","550","120","4,583","70,207","Bastante fácil","8","4","","0,386"
"https://madridsecreto.co/10-cosas-absurdas-que-todos-hacemos-en-la-piscina/","text/html; charset=UTF-8","200","OK","66","152","49","0","0","0","522","82","6,366","60,508","Normal","5","2","","0,733"
"https://madridsecreto.co/10-cosas-que-encontraras-por-lavapies/","text/html; charset=UTF-8","200","OK","54","156","37","0","0","0","444","80","5,550","63,250","Normal","7","4","","0,549"
"https://madridsecreto.co/10-cosas-que-no-hacer-nunca-en-madrid/","text/html; charset=UTF-8","200","OK","54","145","37","0","0","0","394","66","5,970","65,287","Normal","7","4","","0,423"
"https://madridsecreto.co/10-cosas-que-tienes-que-saber-de-los-test-rapidos-de-anticuerpos/","text/html; charset=UTF-8","200","OK","81","154","64","0","0","0","931","119","7,824","55,683","Bastante difícil","57","14","","0,577"
"https://madridsecreto.co/10-cosas-siempre-pasan-la-operacion-salida-madrid/","text/html; charset=UTF-8","200","OK","76","148","59","0","0","0","549","82","6,695","68,131","Normal","16","4","","0,409"
"https://madridsecreto.co/10-cosas-tienes-madrid-los-30/","text/html; charset=UTF-8","200","OK","72","153","55","0","0","0","306","55","5,564","72,076","Bastante fácil","13","6","","0,561"
"https://madridsecreto.co/10-curiosidades-del-cementerio-la-almudena/","text/html; charset=UTF-8","200","OK","62","147","45","0","0","0","608","75","8,107","55,009","Bastante difícil","4","5","","0,547"
"https://madridsecreto.co/10-curiosidades-del-reloj-la-puerta-del-sol-no-conocias/","text/html; charset=UTF-8","200","OK","79","151","62","0","0","0","636","86","7,395","63,250","Normal","8","5","","0,507"
"https://madridsecreto.co/10-curiosidades-los-edificios-madrid-mas-emblematicos/","text/html; charset=UTF-8","200","OK","76","134","59","0","0","0","715","128","5,586","43,206","Difícil","4","6","","0,452"
"https://madridsecreto.co/10-fotos-demuestran-madrid-verano-mola/","text/html; charset=UTF-8","200","OK","66","149","49","0","0","0","697","125","5,576","55,523","Bastante difícil","19","4","","0,637"
"https://madridsecreto.co/10-fotos-lavapies/","text/html; charset=UTF-8","200","OK","65","156","48","0","0","0","308","45","6,844","60,902","Normal","9","4","","0,560"
"https://madridsecreto.co/10-fotos-te-mostraran-madrid-vista-pajaro/","text/html; charset=UTF-8","200","OK","52","147","35","0","0","0","272","42","6,476","68,074","Normal","6","6","","0,561"
"https://madridsecreto.co/10-imagenes-te-descubriran-interior-del-palacio-linares/","text/html; charset=UTF-8","200","OK","82","146","65","0","0","0","226","36","6,278","61,584","Normal","5","5","","0,497"
"https://madridsecreto.co/10-instantaneas-chamberi-te-enamoraran/","text/html; charset=UTF-8","200","OK","62","150","45","0","0","0","740","120","6,167","54,355","Bastante difícil","5","5","","0,613"
"https://madridsecreto.co/10-lugares-de-madrid-donde-demostrar-lo-indie-que-eres/","text/html; charset=UTF-8","200","OK","71","152","54","0","0","0","619","100","6,190","69,757","Normal","4","4","","0,473"
"https://madridsecreto.co/10-lugares-madrid-los-tiempo-se-ha-parado/","text/html; charset=UTF-8","200","OK","70","153","53","0","0","0","558","105","5,314","50,283","Bastante difícil","43","4","","0,425"
"https://madridsecreto.co/10-lugares-naturaleza-madrid/","text/html; charset=UTF-8","200","OK","51","106","60","0","28","26","1429","195","7,328","57,667","Bastante difícil","2","14","","0,154"
"https://madridsecreto.co/10-mejores-malasana/","text/html; charset=UTF-8","200","OK","75","154","58","0","0","0","1029","169","6,089","49,378","Difícil","2","29","","0,490"
"https://madridsecreto.co/10-momentos-demuestran-verano-madrid-mola/","text/html; charset=UTF-8","200","OK","75","148","58","0","0","0","718","122","5,885","57,230","Bastante difícil","18","4","","0,419"
"https://madridsecreto.co/10-motivos-no-visitar-nunca-madrid/","text/html; charset=UTF-8","200","OK","56","154","39","0","0","0","209","43","4,860","68,323","Normal","11","4","","0,496"
"https://madridsecreto.co/10-postales-ha-dejado-la-nieve-la-sierra-madrid/","text/html; charset=UTF-8","200","OK","74","146","57","0","0","0","683","116","5,888","45,408","Difícil","5","4","","0,518"
"https://madridsecreto.co/10-razones-por-las-que-no-vuelvo-a-tomar-jager-en-la-vida/","text/html; charset=UTF-8","200","OK","74","153","57","0","0","0","553","88","6,284","69,197","Normal","3","4","","0,504"
"https://madridsecreto.co/10-restaurantes-los-comer-espectaculo-visual/","text/html; charset=UTF-8","200","OK","74","154","57","0","0","0","894","136","6,574","61,434","Normal","10","4","","0,494"
"https://madridsecreto.co/10-sitios-de-madrid-para-superar-la-resaca/","text/html; charset=UTF-8","200","OK","56","148","39","0","0","0","578","82","7,049","70,439","Bastante fácil","5","4","","0,553"
"https://madridsecreto.co/10-superpoderes-que-desarrollaras-si-vives-en-madrid/","text/html; charset=UTF-8","200","OK","69","149","52","0","0","0","587","94","6,245","59,689","Bastante difícil","7","4","","0,446"
"https://madridsecreto.co/10-torrijas/","text/html; charset=UTF-8","200","OK","80","153","63","0","0","0","770","108","7,130","48,527","Difícil","6","5","","0,524"
"https://madridsecreto.co/100-000-poemas-forma-marcapaginas-lloveran-la-plaza-mayor/","text/html; charset=UTF-8","200","OK","86","142","69","0","0","0","373","49","7,612","56,672","Bastante difícil","15","5","","0,617"
"https://madridsecreto.co/100-aforo-cines-y-teatros-madrid/","text/html; charset=UTF-8","200","OK","85","148","68","0","0","0","452","60","7,533","52,449","Bastante difícil","5","5","","0,485"
"https://madridsecreto.co/100-anos-lorca-madrid-2019-sera-ano-del-poeta-la-comunidad/","text/html; charset=UTF-8","200","OK","88","150","71","0","0","0","606","85","7,129","57,203","Bastante difícil","10","6","","0,427"
"https://madridsecreto.co/100-calles-madrid-pierden-nombre-concienciar-alzheimer/","text/html; charset=UTF-8","200","OK","91","142","74","0","0","0","384","45","8,533","47,700","Difícil","23","4","","0,504"
"https://madridsecreto.co/100-peliculones-que-puedes-ver-gratis-con-un-solo-clic/","text/html; charset=UTF-8","200","OK","71","153","54","0","0","0","314","44","7,136","55,987","Bastante difícil","20","4","","0,401"
"https://madridsecreto.co/1000-dias-obras/","text/html; charset=UTF-8","200","OK","73","153","56","0","0","0","471","71","6,634","60,718","Normal","5","6","","0,393"
"https://madridsecreto.co/102-viviendas-carabanchel/","text/html; charset=UTF-8","200","OK","80","150","63","0","0","0","613","88","6,966","52,370","Bastante difícil","3","7","","0,484"
"https://madridsecreto.co/11-razones-amar-la-nueva-plaza-espana-una-odiarla/","text/html; charset=UTF-8","200","OK","81","142","64","0","0","0","433","58","7,466","62,491","Normal","4","10","","0,604"
"https://madridsecreto.co/11-razones-las-ya-deberias-fan-la-cafeteria-aromabread/","text/html; charset=UTF-8","200","OK","87","150","70","0","0","0","689","105","6,562","62,285","Normal","4","5","","0,652"
"https://madridsecreto.co/115-camaras-multar-los-vehiculos-no-autorizados-madrid-central/","text/html; charset=UTF-8","200","OK","89","154","72","0","0","0","367","50","7,340","54,620","Bastante difícil","7","6","","0,536"
"https://madridsecreto.co/12-cursos-online/","text/html; charset=UTF-8","200","OK","73","149","56","0","0","0","1067","145","7,359","58,789","Bastante difícil","24","5","","0,648"
"https://madridsecreto.co/12-febrero-al-metro-ropa-interior/","text/html; charset=UTF-8","200","OK","64","152","45","0","0","0","340","46","7,391","59,245","Bastante difícil","12","4","","0,583"
"https://madridsecreto.co/12086-2/","text/html; charset=UTF-8","200","OK","65","152","48","0","0","0","321","39","8,231","60,907","Normal","14","4","","0,550"
"https://madridsecreto.co/13-artistas-llenan-color-la-plaza-los-cubos/","text/html; charset=UTF-8","200","OK","66","153","49","0","0","0","290","42","6,905","65,050","Normal","6","4","","0,497"
"https://madridsecreto.co/1311/","text/html; charset=UTF-8","200","OK","80","149","61","0","0","0","458","54","8,481","58,396","Bastante difícil","4","4","","0,411"
"https://madridsecreto.co/14751-2/","text/html; charset=UTF-8","200","OK","89","147","72","0","0","0","512","66","7,758","47,606","Difícil","8","4","","0,416"
"https://madridsecreto.co/14786-2/","text/html; charset=UTF-8","200","OK","78","144","61","0","0","0","416","51","8,157","61,691","Normal","8","4","","0,454"
"https://madridsecreto.co/15-cosas-que-echas-de-menos-cuando-te-vas-de-madrid/","text/html; charset=UTF-8","200","OK","68","149","51","0","0","0","523","80","6,537","71,601","Bastante fácil","7","4","","0,477"
"https://madridsecreto.co/15-lios-de-vecinos-sorprendentes/","text/html; charset=UTF-8","200","OK","72","151","55","0","31","23","921","173","5,324","54,093","Bastante difícil","17","4","","0,647"
"https://madridsecreto.co/15-motivos-por-los-que-quieres-que-termine-ya-el-verano/","text/html; charset=UTF-8","200","OK","72","150","55","0","0","0","416","54","7,704","63,778","Normal","19","4","","0,492"
"https://madridsecreto.co/150-000-vacunas/","text/html; charset=UTF-8","200","OK","89","153","72","0","0","0","295","40","7,375","57,107","Bastante difícil","40","4","","0,439"
"https://madridsecreto.co/15940-2/","text/html; charset=UTF-8","200","OK","56","142","39","0","0","0","612","83","7,373","55,310","Bastante difícil","7","3","","0,460"
"https://madridsecreto.co/16248-2/","text/html; charset=UTF-8","200","OK","56","148","39","0","0","0","658","114","5,772","53,634","Bastante difícil","18","4","","0,419"
"https://madridsecreto.co/16946-2/","text/html; charset=UTF-8","200","OK","94","145","77","0","0","0","571","70","8,157","49,654","Difícil","21","4","","0,471"
"https://madridsecreto.co/17656-2/","text/html; charset=UTF-8","200","OK","63","147","46","0","0","0","417","63","6,619","69,058","Normal","24","4","","0,563"
"https://madridsecreto.co/18216-2/","text/html; charset=UTF-8","200","OK","61","148","44","0","0","0","238","39","6,103","63,788","Normal","27","4","","0,392"
"https://madridsecreto.co/18370-2/","text/html; charset=UTF-8","200","OK","98","151","81","0","0","0","291","44","6,614","59,122","Bastante difícil","27","4","","0,490"
"https://madridsecreto.co/18388-2/","text/html; charset=UTF-8","200","OK","69","152","52","0","0","0","456","60","7,600","62,759","Normal","23","4","","0,421"
"https://madridsecreto.co/2-dias-sin-muertos-covid-madrid/","text/html; charset=UTF-8","200","OK","76","149","59","0","0","0","418","53","7,887","58,572","Bastante difícil","27","4","","0,436"
"https://madridsecreto.co/2-hostels-madrilenos-estan-los-10-mejores-del-mundo/","text/html; charset=UTF-8","200","OK","74","152","57","0","0","0","381","48","7,938","56,668","Bastante difícil","17","4","","0,512"
"https://madridsecreto.co/20-asquerosidades-que-siempre-negaras-haber-hecho/","text/html; charset=UTF-8","200","OK","66","152","49","0","0","0","720","133","5,414","63,043","Normal","6","4","","0,500"
"https://madridsecreto.co/20-cosas-que-pasan-cuando-llega-el-caloret/","text/html; charset=UTF-8","200","OK","78","154","61","0","0","0","667","109","6,119","66,431","Normal","5","4","","0,386"
"https://madridsecreto.co/20-cosas-te-pasado-centro-madrid/","text/html; charset=UTF-8","200","OK","66","154","49","0","0","0","656","107","6,131","67,006","Normal","5","4","","0,514"
"https://madridsecreto.co/20-pequenos-placeres-mundanos-que-disfrutaras-si-vives-en-madrid/","text/html; charset=UTF-8","200","OK","81","153","64","0","0","0","469","79","5,937","66,604","Normal","7","4","","0,624"
"https://madridsecreto.co/20-planes-gratis-madrid/","text/html; charset=UTF-8","200","OK","53","119","36","0","24","33","2307","326","7,077","64,740","Normal","3","11","","0,094"
"https://madridsecreto.co/20-secretos-madrid-alejandra-remon/","text/html; charset=UTF-8","200","OK","58","147","41","0","0","0","2012","280","7,186","69,194","Normal","12","4","","0,565"
"https://madridsecreto.co/20-secretos-madrid-new-day/","text/html; charset=UTF-8","200","OK","50","143","33","0","0","0","1511","236","6,403","66,298","Normal","7","6","","0,496"
"https://madridsecreto.co/20-secretos-patax-la-version-flamenca-michael-jackson-los-culos-instrumento/","text/html; charset=UTF-8","200","OK","110","145","93","0","0","0","2209","275","8,033","64,639","Normal","7","7","","0,533"
"https://madridsecreto.co/20-senales-de-que-ya-eres-un-madrileno-mas/","text/html; charset=UTF-8","200","OK","59","154","42","0","0","0","552","88","6,273","73,262","Bastante fácil","7","6","","0,573"
"https://madridsecreto.co/200-hamacas-para-inaugurar-el-cine-de-verano-autocine-madrid/","text/html; charset=UTF-8","200","OK","77","146","60","0","0","0","275","40","6,875","68,496","Normal","19","4","","0,470"
"https://madridsecreto.co/2017-sera-ano-reformas-mejoras-madrid/","text/html; charset=UTF-8","200","OK","67","146","50","0","0","0","211","29","7,276","60,722","Normal","10","4","","0,387"
"https://madridsecreto.co/22-septiembre-se-celebra-dia-sin-coches-madrid/","text/html; charset=UTF-8","200","OK","75","152","58","0","0","0","264","35","7,543","67,793","Normal","8","4","","0,495"
"https://madridsecreto.co/2207/","text/html; charset=UTF-8","200","OK","75","152","58","0","0","0","761","104","7,317","65,449","Normal","4","4","","0,449"
"https://madridsecreto.co/221163-fox-te-invita-a-viajar-en-el-tiempo/","text/html; charset=UTF-8","200","OK","79","148","62","0","0","0","622","82","7,585","64,347","Normal","4","6","","0,442"
"https://madridsecreto.co/23-noviembre-sera-dia-mas-caotico-del-ano-madrid/","text/html; charset=UTF-8","200","OK","60","154","43","0","0","0","375","49","7,653","65,738","Normal","7","5","","0,603"
"https://madridsecreto.co/2387/","text/html; charset=UTF-8","200","OK","90","154","73","0","0","0","649","120","5,408","60,954","Normal","5","4","","0,384"
